data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,36211.89,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Outros implementos agrícolas,,Equipamentos,4614.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Outros serviços,,Outros,4580.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Plantadeira/Adubadeira,,Equipamentos,3992.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Serviços de consultoria/treinamento ou assistência técnica,,Capacitações,7410.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SULMATEL COMERCIO DE MATERIAIS E EQUIPAMENTOS EIRELI,04115693000119,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,2793.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4313904,PANAMBI,10471/2008,2008-11-19,CONVENIO,700974,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,154640.0,150000.0,4640.0,150000.0,150000.0,,,,4640.0,0.0,,AGRITECH LAVRALE S.A. - MAQUINARIO AGRICOLA E COMPONENTES,88658984001034,2009.0,Colhedora,,Equipamentos,19500.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4313904,PANAMBI,10471/2008,2008-11-19,CONVENIO,700974,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,154640.0,150000.0,4640.0,150000.0,150000.0,,,,4640.0,0.0,,ITAIMBE-MAQUINAS LTDA,95621439000148,2009.0,Trator agrícola,,Equipamentos,108300.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4313904,PANAMBI,10471/2008,2008-11-19,CONVENIO,700974,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,154640.0,150000.0,4640.0,150000.0,150000.0,,,,4640.0,0.0,,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92264472000170,2009.0,Carreta agrícola,,Equipamentos,5500.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4313904,PANAMBI,10471/2008,2008-11-19,CONVENIO,700974,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,154640.0,150000.0,4640.0,150000.0,150000.0,,,,4640.0,0.0,,LOURDES WINTER FROEHLICH - EPP,09515089000101,2009.0,Aradora e Arado,,Equipamentos,15840.0,1.0,,,,,97.08365950681366,,
